unified_app_id,game_name,app_id,os,app_name,publisher_name,game_revenue_2025,app_revenue_2025
59d296dd60104c08ce201a27,Garena Free Fire,com.dts.freefireth,android,Free Fire: Undersea Mystery,GARENA INTERNATIONAL I,128540424.9,58523584.65
59d296dd60104c08ce201a27,Garena Free Fire,com.dts.freefiremax,android,Free Fire MAX,GARENA INTERNATIONAL I,128540424.9,38484982.8
59d296dd60104c08ce201a27,Garena Free Fire,1480516829,ios,Free Fire MAX,GARENA INTERNATIONAL I PRIVATE LIMITED,128540424.9,16321860.15
59d296dd60104c08ce201a27,Garena Free Fire,1300146617,ios,Free Fire: Undersea Mystery,GARENA INTERNATIONAL I PRIVATE LIMITED,128540424.9,15209997.3
61a54e681800977bed4c561d,Arena of Valor,com.garena.game.kgvn,android,Garena Liên Quân Mobile,Garena Mobile Private,73409116.05,41666863.2
61a54e681800977bed4c561d,Arena of Valor,1150288115,ios,Garena Liên Quân Mobile,Garena Mobile Private,73409116.05,31742252.85
55d3a1a802ac64350a000d6e,Roblox,com.roblox.client.vnggames,android,Roblox - VNG,"VNGGames Co., Ltd",56618997.15,31567467.6
55d3a1a802ac64350a000d6e,Roblox,6474715805,ios,Roblox VN,"VNGGames Co., Ltd",56618997.15,25051529.55
5aad42d99f479f0a74d40440,PUBG MOBILE,1438396625,ios,PUBG Mobile VN,VNG CORPORATION,40332216.6,25862275.35
5aad42d99f479f0a74d40440,PUBG MOBILE,com.vng.pubgmobile,android,PUBG Mobile VN,VNG GROUP JSC,40332216.6,14469941.25
5fee6d73b66dd8498d61a935,Play Together:Cozy Social Life,com.vng.playtogether,android,Play Together VNG,VNG GROUP JSC,36479983.8,18296369.4
5fee6d73b66dd8498d61a935,Play Together:Cozy Social Life,1612175933,ios,Play Together VNG,VNG CORPORATION,36479983.8,18183614.4
5da680bb42fa0c4364eb64c8,League of Legends: Wild Rift,1531280382,ios,LMHT: Tốc Chiến,VNG CORPORATION,32233119.45,17739650.55
5da680bb42fa0c4364eb64c8,League of Legends: Wild Rift,com.riotgames.league.wildriftvn,android,LMHT: Tốc Chiến,VNG GROUP JSC,32233119.45,14493468.9
5da67c09a546ab1edeb6c50d,TFT: Teamfight Tactics,6451463643,ios,Đấu Trường Chân Lý,VNG CORPORATION,30475119.0,17325557.85
5da67c09a546ab1edeb6c50d,TFT: Teamfight Tactics,com.riotgames.league.teamfighttacticsvn,android,Đấu Trường Chân Lý,VNG GROUP JSC,30475119.0,13149561.15
64075e77537c41636a8e1c58,Last War:Survival,6736925794,ios,Last War:Survival VN,Valar Technology Corp,23081811.21,12227149.29
64075e77537c41636a8e1c58,Last War:Survival,com.fun.lastwar.vn.gp,android,Last War:Survival VN,Công ty cổ phần phát triển công nghệ số Hồng Hà,23081811.21,10854661.92
55de056902ac6453fd058253,ICÁ,com.twincorp.bancaonline,android,ICÁ,ZINGPLAY VIETNAM,16898104.95,12583237.2
55de056902ac6453fd058253,ICÁ,1568659894,ios,ICÁ,ZingPlay VietNam,16898104.95,4314867.75
56e35cf19429946c4e0bac66,Coin Master,406889139,ios,Coin Master,Moon Active,16102875.36,9048001.17
56e35cf19429946c4e0bac66,Coin Master,com.moonactive.coinmaster,android,Coin Master,Moon Active,16102875.36,7054874.19
58356d7e0211a6bb250005ae,OMG 2 Samkok,com.gs2.omg,android,OMG 3Q - Đấu tướng Tam Quốc,"VNGGames Co., Ltd",14653438.65,7791440.55
58356d7e0211a6bb250005ae,OMG 2 Samkok,1238026766,ios,OMG 3Q - Game Tam Quốc VNG,"VNGGames Co., Ltd",14653438.65,6861912.6
58356d7e0211a6bb250005ae,OMG 2 Samkok,gsn.game.sam,android,Cờ tướng ZingPlay,ZINGPLAY VIETNAM,14653438.65,85.5
5ac2bdddcfc03208313848db,Rise of Kingdoms,1574489575,ios,Rise of Kingdoms - Gamota,KULS JSC,11525724.42,6320660.16
5ac2bdddcfc03208313848db,Rise of Kingdoms,com.rok.gp.vn,android,Rise of Kingdoms - Gamota,Gamota Corp,11525724.42,5205064.26
63bd1e79e36abf4ca724dad2,TopHeroes,6575363756,ios,Thời Đại Anh Hùng,Valar Technology Corp,9541489.62,5750182.59
63bd1e79e36abf4ca724dad2,TopHeroes,com.greenmushroom.boomblitz.gp.vn,android,Thời Đại Anh Hùng,Công ty cổ phần phát triển công nghệ số Hồng Hà,9541489.62,3791307.03
55aee5717ee3d47e0e030502,ZingPlay Portal - Games Center,gsn.game.zingplaynew,android,ZingPlay - Cổng game - iCa,ZINGPLAY VIETNAM,9301590.3,4726734.9
55aee5717ee3d47e0e030502,ZingPlay Portal - Games Center,1528287521,ios,Cổng game ZingPlay - iCa,ZingPlay VietNam,9301590.3,3714825.3
55aee5717ee3d47e0e030502,ZingPlay Portal - Games Center,com.gsn.zps.full,android,ZingPlay HD Cổng game giải trí,ZINGPLAY VIETNAM,9301590.3,860030.1
55c5028802ac64f9c0001faf,Candy Crush Saga,553834731,ios,Candy Crush Saga,King,9002777.67,5158273.35
55c5028802ac64f9c0001faf,Candy Crush Saga,com.king.candycrushsaga,android,Candy Crush Saga,King,9002777.67,3844504.32
652e01496f1d5e32a3b568fe,MU Monarch,vng.games.mu.webzen.online,android,MU Lục Địa VNG,VNG GROUP JSC,7912484.85,4157492.1
652e01496f1d5e32a3b568fe,MU Monarch,6502928253,ios,MU Lục Địa VNG,VNG CORPORATION,7912484.85,3754992.75
5e8694de25186e479bf4dd24,EA SPORTS FC Mobile Soccer,6737226348,ios,FC Mobile VN,Garena Mobile Private,7325900.1,4139731.05
5e8694de25186e479bf4dd24,EA SPORTS FC Mobile Soccer,com.garena.game.fcmobilevn,android,FC Mobile VN,Garena Mobile Private,7325900.1,3186169.05
5a436fa30211a64e563fcdb8,QQ飞车,1435297178,ios,ZingSpeed Mobile,VNG CORPORATION,7138784.25,3949310.25
5a436fa30211a64e563fcdb8,QQ飞车,com.vng.speedvn,android,ZingSpeed Mobile,VNG GROUP JSC,7138784.25,3189474.0
5d0355893ea9832c13e157d2,Call of Duty®: Mobile,1477030970,ios,Call of Duty: Mobile VN,VNG CORPORATION,5941914.45,3098634.45
5d0355893ea9832c13e157d2,Call of Duty®: Mobile,com.vng.codmvn,android,Call Of Duty: Mobile VN,VNG GROUP JSC,5941914.45,2843280.0
58f98ac30bc24808080019ff,Love Nikki-Dress UP Queen,1051206681,ios,Ngôi Sao Thời Trang 360Mobi,VNG CORPORATION,5725046.1,3816963.3
58f98ac30bc24808080019ff,Love Nikki-Dress UP Queen,com.vng.ngoisaothoitrang,android,Ngôi Sao Thời Trang,VNG GROUP JSC,5725046.1,1908082.8
582219400211a6c9240005fc,Gardenscapes,1105855019,ios,Gardenscapes,Playrix,5572186.5,3669738.12
582219400211a6c9240005fc,Gardenscapes,com.playrix.gardenscapes,android,Gardenscapes,Playrix,5572186.5,1902448.38
